,レースID,レースクラス,枠,馬番,馬名,騎手,コース,距離,馬場,オッズ
0,202205020410 ,Other,1,1,ユアヒストリー,石川,ダ,2100,重,135.4
1,202205020410 ,Other,1,2,アメリカンフェイス,吉田豊,ダ,2100,重,4.9
2,202205020410 ,Other,2,3,ダノンファスト,木幡巧,ダ,2100,重,39.7
3,202205020410 ,Other,2,4,ロードリバーサル,津村,ダ,2100,重,178.8
4,202205020410 ,Other,3,5,ロードマイウェイ,永野,ダ,2100,重,73.5
5,202205020410 ,Other,3,6,ハヤブサナンデクン,大野,ダ,2100,重,4.2
6,202205020410 ,Other,4,7,リッターシュラーク,宮崎,ダ,2100,重,70.4
7,202205020410 ,Other,4,8,ヒロイックテイル,Ｍデムーロ,ダ,2100,重,10.2
8,202205020410 ,Other,5,9,ホウオウスクラム,横山琉,ダ,2100,重,263.1
9,202205020410 ,Other,5,10,リネンファッション,秋山真,ダ,2100,重,52.9
10,202205020410 ,Other,6,11,トップウイナー,城戸,ダ,2100,重,178.8
11,202205020410 ,Other,6,12,スマッシングハーツ,横山武,ダ,2100,重,2.4
12,202205020410 ,Other,7,13,デュアライズ,菅原明,ダ,2100,重,27.2
13,202205020410 ,Other,7,14,エイコーン,戸崎圭,ダ,2100,重,27.9
14,202205020410 ,Other,8,15,キタノヴィジョン,丸田,ダ,2100,重,20.8
15,202205020410 ,Other,8,16,アルドーレ,レーン,ダ,2100,重,5.2
